,petal_length,petal_width,y,pre
53,4.0,1.3,1,1
86,4.7,1.5,1,1
84,4.5,1.5,1,1
144,5.7,2.5,2,2
139,5.4,2.1,2,2
64,3.6,1.3,1,1
48,1.5,0.2,0,0
91,4.6,1.4,1,1
15,1.5,0.4,0,0
116,5.5,1.8,2,2
145,5.2,2.3,2,2
112,5.5,2.1,2,2
21,1.5,0.4,0,0
129,5.8,1.6,2,2
101,5.1,1.9,2,2
88,4.1,1.3,1,1
132,5.6,2.2,2,2
126,4.8,1.8,2,2
80,3.8,1.1,1,1
102,5.9,2.1,2,2
123,4.9,1.8,2,2
37,1.4,0.1,0,0
99,4.1,1.3,1,1
100,6.0,2.5,2,2
10,1.5,0.2,0,0
85,4.5,1.6,1,1
119,5.0,1.5,2,1
29,1.6,0.2,0,0
137,5.5,1.8,2,2
54,4.6,1.5,1,1
